Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.335,2018
1,ANCASH,0.203,2018
2,APURIMAC,0.318,2018
3,AREQUIPA,0.086,2018
4,AYACUCHO,0.375,2018
5,CAJAMARCA,0.419,2018
6,CALLAO,0.16,2018
7,CUSCO,0.229,2018
8,HUANCAVELICA,0.387,2018
9,HUANUCO,0.299,2018
10,ICA,0.031,2018
11,JUNIN,0.215,2018
12,LA LIBERTAD,0.208,2018
13,LAMBAYEQUE,0.12,2018
14,LIMA,0.128,2018
15,LORETO,0.327,2018
16,MADRE DE DIOS,0.032,2018
17,MOQUEGUA,0.087,2018
18,PASCO,0.35,2018
19,PIURA,0.275,2018
20,PUNO,0.37,2018
21,SAN MARTIN,0.249,2018
22,TACNA,0.136,2018
23,TUMBES,0.109,2018
24,UCAYALI,0.106,2018
