Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.258,2023
1,ANCASH,0.25,2023
2,APURIMAC,0.258,2023
3,AREQUIPA,0.139,2023
4,AYACUCHO,0.394,2023
5,CAJAMARCA,0.445,2023
6,CALLAO,0.342,2023
7,CUSCO,0.217,2023
8,HUANCAVELICA,0.395,2023
9,HUANUCO,0.392,2023
10,ICA,0.069,2023
11,JUNIN,0.243,2023
12,LA LIBERTAD,0.316,2023
13,LAMBAYEQUE,0.179,2023
14,LIMA,0.281,2023
15,LORETO,0.435,2023
16,MADRE DE DIOS,0.166,2023
17,MOQUEGUA,0.131,2023
18,PASCO,0.417,2023
19,PIURA,0.331,2023
20,PUNO,0.416,2023
21,SAN MARTIN,0.226,2023
22,TACNA,0.267,2023
23,TUMBES,0.29,2023
24,UCAYALI,0.269,2023
